municipio,codigo,receita_corrente,divida_consolidada,pessoal_encargos,cap_pag_div,eq1_cap_pag_div
Prefeitura Municipal de Leoberto Leal - SC,4209805,15097886.69,0,9784814.640000001,0,2.8928819
Prefeitura Municipal de Lindóia do Sul - SC,4209854,22599979.41,93244,8411729.449999999,.0065719169,2.8930972
Prefeitura Municipal de Lontras - SC,4209904,34784363.86,0,17153527.58,0,2.8928819
Prefeitura Municipal de Luiz Alves - SC,4210001,44025801.11,2569885,18772640.73,.10176489,2.8962164
Prefeitura Municipal de Luzerna - SC,4210035,25702221.8,239266,11350691.66,.01667181,2.8934283
Prefeitura Municipal de Macieira - SC,4210050,16959636.77,0,7490686.08,0,2.8928819
Prefeitura Municipal de Mafra - SC,4210100,163031847.34,65986035,91700277.95,.92506075,2.923193
Prefeitura Municipal de Major Gercino - SC,4210209,15838901.18,0,7222648.09,0,2.8928819
Prefeitura Municipal de Major Vieira - SC,4210308,28519893.65,8159644,13372179.33,.53867161,2.9105325
Prefeitura Municipal de Maracajá - SC,4210407,29088958.19,4051994,11910924.88,.2358823,2.9006109
Prefeitura Municipal de Maravilha - SC,4210506,82117812.79000001,6638124,40818730.57,.16073297,2.8981485
Prefeitura Municipal de Marema - SC,4210555,18042112.88,5066,7132728.6,.00046437085,2.8928971
Prefeitura Municipal de Massaranduba - SC,4210605,58180320.53,2074234,25131618.18,.062762946,2.8949385
Prefeitura Municipal de Matos Costa - SC,4210704,16519468.19,1404849,7658927.68,.15855116,2.898077
Prefeitura Municipal de Meleiro - SC,4210803,26398695.97,0,12948534.45,0,2.8928819
Prefeitura Municipal de Mirim Doce - SC,4210852,16441727.07,102189,6977254.98,.010797116,2.8932357
Prefeitura Municipal de Modelo - SC,4210902,20410158.96,0,8363089.24,0,2.8928819
Prefeitura Municipal de Mondaí - SC,4211009,38813590.55,0,16854052.01,0,2.8928819
Prefeitura Municipal de Monte Carlo - SC,4211058,30328073.51,1201684,14988504.51,.078338839,2.8954489
Prefeitura Municipal de Monte Castelo - SC,4211108,26237306.05,4665581,12076310.69,.32946703,2.9036775
Prefeitura Municipal de Morro da Fumaça - SC,4211207,62244449.86,0,29437718.48,0,2.8928819
Prefeitura Municipal de Morro Grande - SC,4211256,20805270.39,0,8685151.15,0,2.8928819
Prefeitura Municipal de Navegantes - SC,4211306,299375244.7,31643448,151902628.15,.21457168,2.8999128
Prefeitura Municipal de Nova Erechim - SC,4211405,23194566.6,2117039,8536485.41,.14442812,2.8976145
Prefeitura Municipal de Nova Itaberaba - SC,4211454,22343525.39,136562,9455712.460000001,.010596212,2.8932292
Prefeitura Municipal de Nova Trento - SC,4211504,49907577.18,0,23968462.7,0,2.8928819
Prefeitura Municipal de Nova Veneza - SC,4211603,53820813.65,345468,25706149.3,.012287823,2.8932846
Prefeitura Municipal de Novo Horizonte - SC,4211652,18680083.75,0,6587832.28,0,2.8928819
Prefeitura Municipal de Orleans - SC,4211702,72607560.78,0,37666138.53,0,2.8928819
Prefeitura Municipal de Otacílio Costa - SC,4211751,71757396.76000001,10583405,40176056.33,.33511576,2.9038625
Prefeitura Municipal de Ouro - SC,4211801,25906677.05,0,10972987.76,0,2.8928819
Prefeitura Municipal de Ouro Verde - SC,4211850,16763756.1,539847,7212153.7,.056518998,2.8947339
Prefeitura Municipal de Paial - SC,4211876,14384815.7,0,6570900.58,0,2.8928819
Prefeitura Municipal de Painel - SC,4211892,14924745.49,1020728,7078745.24,.13009533,2.8971448
